year,student_ID,MCQ_A,MCQ_B,MCQ_C,MCQ_D,MCQ_E,Exam,Attended_prac
2023,NA,85,71.08333,65,76,70,71.2666,NO_OSstudent
2023,NA,65,66.5,80,58,75,61.3336,NO_OSstudent
2023,NA,55,56.33333,60,70,55,71.0002,NO_OSstudent
2023,NA,45,60.66666,75,72,90,68.3334,YES
2023,NA,85,86.5,85,76,80,65.5,NO_OSstudent
2023,NA,0,0,0,0,0,0,NO_OSstudent
2023,NA,62.5,56.75,85,70,70,73.3332,NO_OSstudent
2023,NA,60,43.16666,55,80,75,64.3334,NO_OSstudent
2023,NA,82.5,66.25,90,80,85,80.3334,YES
2023,NA,60,65.75,55,60,55,62.6668,YES
2023,NA,85,48.08333,70,100,60,63.0002,NO
2023,NA,80,69.75,70,70,75,71.3334,NO
2023,NA,80,61.5,80,60,65,73,NO_OSstudent
2023,NA,97.5,67.83333,90,90,85,78.6668,NO_OSstudent
2023,NA,87.5,82,75,70,100,84.6666,YES
2023,NA,67.5,62,80,58,40,65.1664,NO
2023,NA,90,91.75,90,90,85,89,NO_OSstudent
2023,NA,82.5,92,80,90,85,80.3668,YES
2023,NA,55,61.5,70,66,65,66.8334,NO_OSstudent
2023,NA,90,76.75,80,76,85,82.5002,NO_OSstudent
2023,NA,52.5,57,75,78,75,72.1668,NO_OSstudent
2023,NA,60,34.41666,75,50,70,75,YES
2023,NA,65,62.25,90,80,75,75.1666,NO_OSstudent
2023,NA,70,50.83333,75,50,75,58,YES
2023,NA,80,65.33333,95,40,75,70.8334,NO_OSstudent
2023,NA,97.5,78.83333,85,80,85,71.5,NO_OSstudent
2023,NA,65,55.41666,45,34,55,72.8336,YES
2023,NA,65,60.75,80,70,80,56.8334,YES
2023,NA,82.5,79.25,75,80,95,81.5,YES
2023,NA,90,73.16666,85,66,75,73.8334,YES
2023,NA,80,80.33333,80,70,80,83.6666,NO_OSstudent
2023,NA,80,55.66666,0,66,80,68.3332,NO_OSstudent
2023,NA,57.5,59.91666,70,40,70,69.6668,NO_OSstudent
2023,NA,75,81,90,80,75,76.1668,NO_OSstudent
2023,NA,77.5,75.5,85,80,80,72.5,YES
2023,NA,70,59.75,65,60,80,67.3332,NO_OSstudent
2023,NA,90,65.83333,80,80,75,85,YES
2023,NA,67.5,67.91666,55,70,75,61.8334,NO_OSstudent
2023,NA,80,49,75,74,80,74,NO_OSstudent
2023,NA,70,76.25,100,80,90,79,NO_OSstudent
2023,NA,95,64.5,75,70,90,76.5002,NO_OSstudent
2023,NA,77.5,57.5,75,60,80,70.4334,NO_OSstudent
2023,NA,90,85.75,90,80,85,87.1666,YES
2023,NA,90,64.5,75,86,100,83,YES
2023,NA,70,47.08333,50,44,70,81.5,NO
2023,NA,85,53.66666,90,46,55,70.5002,NO_OSstudent
2023,NA,85,59.75,90,80,85,81.1668,YES
2023,NA,0,60.75,95,90,60,49.6,NO_OSstudent
