year,student_ID,MCQ_A,MCQ_B,MCQ_C,MCQ_D,Exam,Attended_prac
2024,NA,85,61,93,90,67,YES
2024,NA,87,53,85,85,51,YES
2024,NA,78,60,68,100,55,YES
2024,NA,78,66,78,65,53,YES
2024,NA,62,0,60,78,53,NO
2024,NA,77,81,0,83,63,YES
2024,NA,88,70,0,55,57,YES
2024,NA,83,79,100,85,63,YES
2024,NA,84,71,73,55,43,YES
2024,NA,76,0,95,80,41,YES
2024,NA,78,75,0,75,57,NO
2024,NA,45,26,69,75,43,NO
2024,NA,88,78,88,80,76,NO
2024,NA,67,59,66,0,20,YES
2024,NA,81,64,67,0,40,NO
2024,NA,81,65,63,95,49,YES
2024,NA,98,76,90,90,90,YES
2024,NA,83,44,88,78,47,YES
2024,NA,83,50,80,93,63,YES
2024,NA,64,53,90,95,31,YES
2024,NA,39,44,52,52,43,YES
2024,NA,94,0,69,90,33,YES
2024,NA,49,55,65,50,31,NO
2024,NA,83,54,63,80,69,YES
2024,NA,76,56,73,65,53,YES
2024,NA,73,40,73,53,33,YES
2024,NA,76,76,91,95,78,YES
2024,NA,81,69,87,85,63,YES
2024,NA,80,75,93,70,76,YES
2024,NA,92,68,88,73,47,YES
2024,NA,55,61,67,75,35,YES
2024,NA,72,69,88,80,55,YES
2024,NA,93,85,90,90,35,YES
2024,NA,93,100,90,95,73,YES
2024,NA,83,40,83,73,53,YES
2024,NA,98,59,85,75,47,YES
2024,NA,89,68,96,55,76,YES
2024,NA,57,57,82,85,53,YES
2024,NA,46,39,62,75,31,YES
2024,NA,73,67,88,83,55,YES
2024,NA,35,71,91,85,39,NO
2024,NA,86,83,70,80,53,YES
2024,NA,72,29,66,75,43,NO
2024,NA,59,37,85,70,41,YES
2024,NA,69,78,88,85,55,YES
2024,NA,69,67,75,85,61,YES
2024,NA,76,60,83,80,51,NO
2024,NA,77,59,76,80,80,YES
2024,NA,73,63,83,80,49,YES
2024,NA,84,84,88,90,57,YES
2024,NA,83,57,69,85,33,YES
2024,NA,67,70,88,60,53,YES
2024,NA,75,0,70,75,39,YES
2024,NA,73,83,76,85,61,YES
2024,NA,88,0,65,68,39,YES
2024,NA,73,59,90,85,55,YES
2024,NA,83,56,73,80,59,NO
2024,NA,78,55,78,90,51,YES
2024,NA,76,66,88,100,55,YES
2024,NA,66,51,63,40,45,YES
2024,NA,81,60,85,83,43,YES
2024,NA,77,0,0,75,33,YES
2024,NA,61,0,78,67,32,NO
2024,NA,74,54,85,90,57,YES
2024,NA,56,70,81,85,47,YES
2024,NA,70,68,80,85,0,NO
2024,NA,79,47,80,70,41,YES
2024,NA,75,77,63,95,43,NO
2024,NA,61,78,84,88,55,NO
2024,NA,83,91,85,95,65,NO
2024,NA,74,50,69,60,67,YES
2024,NA,81,73,91,80,73,YES
2024,NA,66,62,86,70,55,YES
2024,NA,88,80,95,85,69,YES
2024,NA,61,44,83,90,49,YES
2024,NA,69,55,73,80,35,YES
2024,NA,71,55,88,75,59,YES
2024,NA,64,52,51,63,47,YES
2024,NA,68,53,83,90,59,YES
2024,NA,86,30,0,90,55,NO
2024,NA,79,66,90,85,55,YES
2024,NA,72,68,66,80,71,YES
2024,NA,79,61,60,75,57,YES
2024,NA,88,73,83,85,43,YES
2024,NA,99,86,83,95,43,YES
2024,NA,58,0,0,0,0,YES
2024,NA,73,55,94,95,55,YES
2024,NA,79,45,82,95,33,YES
2024,NA,71,71,77,95,0,NO
2024,NA,71,44,64,95,53,YES
2024,NA,62,0,0,0,51,YES
