sheet,id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Degree,Gender
Before_lectures_001,1,5,5,5,4,2,1,1,1,5,4,4,NA,NA,Zoology with herp,Male
Before_lectures_001,2,3,4,2,2,1,3,3,3,4,2,2,NA,NA,Biology with biotech,Male
Before_lectures_001,3,2,2,2,1,1,1,1,3,4,1,2,NA,NA,Zoology with herp,Male
Before_lectures_001,4,4,4,5,3,3,3,1,1,5,2,3,NA,NA,Zoology with conservation,Male
Before_lectures_001,5,4,4,5,3,3,2,2,1,5,2,1,NA,NA,Zoology with animal management,Female
Before_lectures_001,6,4,4,4,4,2,1,2,1,4,4,2,NA,NA,Zoology with herp,Man
Before_lectures_001,7,4,4,4,3,3,2,2,2,4,2,2,NA,NA,Biology,Female
Before_lectures_001,8,4,4,4,2,1,4,4,3,4,2,2,NA,NA,Zoology with conservation,Female
Before_lectures_001,9,5,5,5,5,2,2,3,2,5,1,3,NA,NA,Zoology,very manly man
Before_lectures_001,10,4,5,5,3,3,1,2,1,5,4,4,NA,NA,Zoology with herp,Male
Before_lectures_001,11,4,5,3,3,1,1,2,3,5,2,3,NA,NA,Zoology with animal behav,Female
Before_lectures_001,12,5,5,5,3,3,1,1,1,5,2,1,NA,NA,Zoology,Male
Before_lectures_001,13,5,5,5,5,5,2,2,1,5,3,3,NA,NA,Zoology,Non-Binary
Before_lectures_001,14,4,5,5,3,3,1,1,1,5,1,2,NA,NA,Zoology,Female
Before_lectures_001,15,5,5,4,2,2,3,3,2,5,2,2,NA,NA,Zoology,Female
Before_lectures_001,16,3,3,4,3,2,1,2,1,4,2,2,NA,NA,Zoology with marine zoology,Female
Before_lectures_001,17,4,4,3,2,3,3,4,2,4,1,1,NA,NA,Biology,Female
Before_lectures_001,18,4,4,5,3,2,2,1,2,5,2,3,NA,NA,Zoology with herp,Male
Before_lectures_001,19,4,5,4,3,2,1,1,1,5,4,2,NA,NA,Zoology,Male
Before_lectures_001,20,4,3,4,3,4,1,1,1,5,4,3,NA,NA,Zoology with conservation,Male
Before_lectures_001,21,5,5,5,4,3,2,3,2,5,2,1,NA,NA,Wildlife Ecology and conservation,Female
Before_lectures_001,22,5,5,4,4,2,2,2,1,5,4,4,NA,NA,Zoology with ornithology,Female
Before_lectures_001,23,5,5,5,5,4,2,3,1,5,3,4,NA,NA,Zoology with ornithology,Male
Before_lectures_001,24,5,5,5,5,4,1,1,1,5,5,5,NA,NA,Zoology,Male
Before_lectures_001,25,4,3,3,2,2,3,3,4,5,2,2,NA,NA,Zoology with conservation,Male
Before_lectures_001,26,4,4,5,3,2,1,1,2,5,3,3,NA,NA,Zoology with conservation,Male
Before_lectures_001,27,4.5,4,4,2,2,2,1,3,4,2,3,NA,NA,Zoology with marine zoology,Male
Before_lectures_001,28,4,3,4,3,3,2,3,1,5,4,3,NA,NA,Biology,Female
Before_lectures_001,29,4,4,2,2,2,1,1,1,5,2,3,NA,NA,Zoology with marine zoology,Male
Before_lectures_001,30,3,4,3,1,1,2,2,2,5,2,2,NA,NA,Zoology with marine zoology,Man
Before_lectures_001,31,4,4,3,1,1,4,3,4,4,1,1,NA,NA,Zoology with animal management,Female
Before_lectures_001,32,3,3,3,3,2,2,2,3,3,1,1,NA,NA,Zoology with marine zoology,Female
Before_lectures_001,33,5,5,5,5,2,4,5,3,5,2,2,NA,NA,Zoology with animal behav,Female
Before_lectures_001,34,4,5,4,4,2,2,1,2,5,3,3,NA,NA,Zoology with herp,Male
Before_lectures_001,35,4,3,4,1,2,1,2,1,5,1,1,NA,NA,Zoology with animal behav,Female
Before_lectures_001,36,5,4,4,3,1,3,5,2,5,2,4,NA,NA,Zoology,Female
Before_lectures_001,37,5,4,4,3,2,1,1,1,5,3,3,NA,NA,Zoology with conservation,Male
Before_lectures_002,1,5,5,5,3,4,1,2,1,5,2,2,NA,NA,Zoology,Female
Before_lectures_002,2,5,5,5,5,4,1,2,1,5,2,1,NA,NA,Zoology,Female
Before_lectures_002,3,4,4,3,3,2,3,3,2,4,2,2,NA,NA,Zoology with conservation,Female
Before_lectures_002,4,4,3,3,1,1,3,1,3,4,2,2,NA,NA,Zoology with conservation,Female
Before_lectures_002,5,5,5,5,4,3,1,2,1,5,4,4,NA,NA,Zoology with conservation,Male
Before_lectures_002,6,5,5,5,3,1,4,5,3,5,3,2,NA,NA,Zoology with conservation,Female
Before_lectures_002,7,5,5,4,4,3,1,2,2,5,4,4,NA,NA,Zoology with conservation,Female
Before_lectures_002,8,5,5,5,3,1,5,3,4,5,1,1,NA,NA,Zoology with animal behav,Female
