"Strongly Disagree","Disagree","Neutral","Agree","Strongly Agree","Q","session","total","Strongly Disagree %","Disagree %","Neutral %","Agree %","Strongly Agree %"
1,2,20,157,132,"Q1","BL",312,0.32051282051282,0.641025641025641,6.41025641025641,50.3205128205128,42.3076923076923
1,2,14,152,142,"Q1","AL",311,0.321543408360129,0.643086816720257,4.5016077170418,48.8745980707396,45.6591639871383
0,1,10,167,208,"Q1","AP",386,0,0.259067357512953,2.59067357512953,43.2642487046632,53.8860103626943
1,6,45,145,117,"Q2","BL",314,0.318471337579618,1.91082802547771,14.3312101910828,46.1783439490446,37.2611464968153
1,4,30,155,120,"Q2","AL",310,0.32258064516129,1.29032258064516,9.67741935483871,50,38.7096774193548
0,4,19,191,171,"Q2","AP",385,0,1.03896103896104,4.93506493506494,49.6103896103896,44.4155844155844
1,10,65,142,95,"Q3","BL",313,0.319488817891374,3.19488817891374,20.7667731629393,45.3674121405751,30.3514376996805
4,13,64,130,98,"Q3","AL",309,1.29449838187702,4.20711974110032,20.7119741100324,42.0711974110032,31.7152103559871
3,6,56,177,141,"Q3","AP",383,0.783289817232376,1.56657963446475,14.621409921671,46.2140992167102,36.8146214099217
13,61,139,70,30,"Q4","BL",313,4.15335463258786,19.4888178913738,44.408945686901,22.3642172523962,9.58466453674121
16,52,138,80,25,"Q4","AL",311,5.14469453376206,16.7202572347267,44.3729903536978,25.7234726688103,8.03858520900322
13,43,177,106,48,"Q4","AP",387,3.35917312661499,11.1111111111111,45.7364341085271,27.390180878553,12.4031007751938
92,113,76,21,12,"Q5","BL",314,29.2993630573248,35.9872611464968,24.203821656051,6.68789808917197,3.82165605095541
73,107,90,29,10,"Q5","AL",309,23.6245954692557,34.6278317152104,29.126213592233,9.38511326860841,3.23624595469256
62,115,127,58,24,"Q5","AP",386,16.0621761658031,29.7927461139896,32.9015544041451,15.0259067357513,6.21761658031088
135,92,58,22,5,"Q6","BL",312,43.2692307692308,29.4871794871795,18.5897435897436,7.05128205128205,1.6025641025641
146,89,48,21,6,"Q6","AL",310,47.0967741935484,28.7096774193548,15.4838709677419,6.7741935483871,1.93548387096774
224,92,50,15,6,"Q6","AP",387,57.8811369509044,23.7726098191214,12.9198966408269,3.87596899224806,1.55038759689922
125,92,61,25,10,"Q7","BL",313,39.9361022364217,29.3929712460064,19.4888178913738,7.98722044728434,3.19488817891374
140,84,47,29,11,"Q7","AL",311,45.016077170418,27.0096463022508,15.112540192926,9.32475884244373,3.53697749196141
203,97,53,24,9,"Q7","AP",386,52.5906735751295,25.1295336787565,13.7305699481865,6.21761658031088,2.33160621761658
138,91,64,16,5,"Q8","BL",314,43.9490445859873,28.9808917197452,20.3821656050955,5.09554140127389,1.59235668789809
160,86,45,14,6,"Q8","AL",311,51.4469453376206,27.6527331189711,14.4694533762058,4.5016077170418,1.92926045016077
240,106,29,7,3,"Q8","AP",385,62.3376623376623,27.5324675324675,7.53246753246753,1.81818181818182,0.779220779220779
1,1,15,90,204,"Q9","BL",311,0.321543408360129,0.321543408360129,4.82315112540193,28.9389067524116,65.5948553054662
2,0,11,85,209,"Q9","AL",307,0.651465798045603,0,3.58306188925081,27.6872964169381,68.0781758957655
1,0,9,95,280,"Q9","AP",385,0.25974025974026,0,2.33766233766234,24.6753246753247,72.7272727272727
51,123,85,46,8,"Q10","BL",313,16.2939297124601,39.297124600639,27.1565495207668,14.6964856230032,2.55591054313099
13,73,103,107,12,"Q10","AL",308,4.22077922077922,23.7012987012987,33.4415584415584,34.7402597402597,3.8961038961039
5,25,102,205,50,"Q10","AP",387,1.29198966408269,6.45994832041344,26.3565891472868,52.9715762273902,12.9198966408269
51,121,92,43,7,"Q11","BL",314,16.2420382165605,38.5350318471338,29.2993630573248,13.6942675159236,2.22929936305732
14,38,94,149,16,"Q11","AL",311,4.5016077170418,12.2186495176849,30.2250803858521,47.9099678456592,5.14469453376206
7,34,141,175,30,"Q11","AP",387,1.80878552971576,8.78552971576227,36.4341085271318,45.2196382428941,7.75193798449612
0,1,12,136,237,"Q12","AP",386,0,0.259067357512953,3.10880829015544,35.2331606217617,61.39896373057
30,20,127,89,117,"Q13","AP",383,7.83289817232376,5.22193211488251,33.1592689295039,23.2375979112272,30.5483028720627
