"Strongly Disagree","Disagree","Neutral","Agree","Strongly Agree","Q","session","total","Strongly Disagree %","Disagree %","Neutral %","Agree %","Strongly Agree %"
1,0,8,63,59,"Q1","BL",131,0.763358778625954,0,6.10687022900763,48.0916030534351,45.0381679389313
0,0,6,71,69,"Q1","AL",146,0,0,4.10958904109589,48.6301369863014,47.2602739726027
0,0,5,80,104,"Q1","AP",189,0,0,2.64550264550265,42.3280423280423,55.026455026455
1,2,17,62,50,"Q2","BL",132,0.757575757575758,1.51515151515152,12.8787878787879,46.969696969697,37.8787878787879
0,1,15,76,53,"Q2","AL",145,0,0.689655172413793,10.3448275862069,52.4137931034483,36.551724137931
0,0,9,94,85,"Q2","AP",188,0,0,4.78723404255319,50,45.2127659574468
1,2,24,62,43,"Q3","BL",132,0.757575757575758,1.51515151515152,18.1818181818182,46.969696969697,32.5757575757576
0,4,23,72,46,"Q3","AL",145,0,2.75862068965517,15.8620689655172,49.6551724137931,31.7241379310345
0,1,21,87,79,"Q3","AP",188,0,0.531914893617021,11.1702127659574,46.2765957446808,42.0212765957447
2,20,55,41,13,"Q4","BL",131,1.52671755725191,15.2671755725191,41.9847328244275,31.2977099236641,9.9236641221374
5,22,66,43,10,"Q4","AL",146,3.42465753424658,15.0684931506849,45.2054794520548,29.4520547945205,6.84931506849315
4,17,89,55,25,"Q4","AP",190,2.10526315789474,8.94736842105263,46.8421052631579,28.9473684210526,13.1578947368421
36,48,34,9,5,"Q5","BL",132,27.2727272727273,36.3636363636364,25.7575757575758,6.81818181818182,3.78787878787879
37,48,45,13,3,"Q5","AL",146,25.3424657534247,32.8767123287671,30.8219178082192,8.9041095890411,2.05479452054794
29,53,67,34,7,"Q5","AP",190,15.2631578947368,27.8947368421053,35.2631578947368,17.8947368421053,3.68421052631579
57,36,27,8,3,"Q6","BL",131,43.5114503816794,27.4809160305344,20.6106870229008,6.10687022900763,2.29007633587786
59,45,26,12,4,"Q6","AL",146,40.4109589041096,30.8219178082192,17.8082191780822,8.21917808219178,2.73972602739726
110,40,29,8,3,"Q6","AP",190,57.8947368421053,21.0526315789474,15.2631578947368,4.21052631578947,1.57894736842105
54,41,24,10,2,"Q7","BL",131,41.2213740458015,31.2977099236641,18.3206106870229,7.63358778625954,1.52671755725191
63,39,26,14,4,"Q7","AL",146,43.1506849315069,26.7123287671233,17.8082191780822,9.58904109589041,2.73972602739726
100,47,24,12,6,"Q7","AP",189,52.9100529100529,24.8677248677249,12.6984126984127,6.34920634920635,3.17460317460317
58,39,24,7,4,"Q8","BL",132,43.9393939393939,29.5454545454545,18.1818181818182,5.3030303030303,3.03030303030303
67,44,26,8,1,"Q8","AL",146,45.8904109589041,30.1369863013699,17.8082191780822,5.47945205479452,0.684931506849315
115,55,16,1,2,"Q8","AP",189,60.8465608465608,29.1005291005291,8.46560846560847,0.529100529100529,1.05820105820106
1,0,4,36,89,"Q9","BL",130,0.769230769230769,0,3.07692307692308,27.6923076923077,68.4615384615385
1,0,4,45,94,"Q9","AL",144,0.694444444444444,0,2.77777777777778,31.25,65.2777777777778
1,0,4,44,141,"Q9","AP",190,0.526315789473684,0,2.10526315789474,23.1578947368421,74.2105263157895
19,49,39,19,5,"Q10","BL",131,14.5038167938931,37.4045801526718,29.7709923664122,14.5038167938931,3.81679389312977
5,37,50,46,6,"Q10","AL",144,3.47222222222222,25.6944444444444,34.7222222222222,31.9444444444444,4.16666666666667
2,8,46,105,29,"Q10","AP",190,1.05263157894737,4.21052631578947,24.2105263157895,55.2631578947368,15.2631578947368
20,55,35,18,4,"Q11","BL",132,15.1515151515152,41.6666666666667,26.5151515151515,13.6363636363636,3.03030303030303
7,21,38,74,6,"Q11","AL",146,4.7945205479452,14.3835616438356,26.027397260274,50.6849315068493,4.10958904109589
1,18,66,88,17,"Q11","AP",190,0.526315789473684,9.47368421052632,34.7368421052632,46.3157894736842,8.94736842105263
0,0,4,69,117,"Q12","AP",190,0,0,2.10526315789474,36.3157894736842,61.578947368421
16,13,62,43,55,"Q13","AP",189,8.46560846560847,6.87830687830688,32.8042328042328,22.7513227513227,29.1005291005291
