"","contrast","estimate","SE","df","z.ratio","p.value","Q","FDRall"
"1","female - male",-0.416501826821619,0.2347854816916,Inf,-1.77396755464084,0.0760685172450159,"Q1_BL",0.147911005754198
"4","female - male",0.450505294954995,0.24181382599924,Inf,1.86302537951825,0.0624586955960794,"Q1_AL",0.145736956390852
"7","female - male",-0.375171865035438,0.216285616838837,Inf,-1.73461310335303,0.0828093569900984,"Q1_AP",0.152543552350181
"10","female - male",-0.161081942752706,0.222449608970575,Inf,-0.724127785605653,0.468987287676052,"Q2_BL",0.566019140298683
"13","female - male",0.0241275795414655,0.238861682990887,Inf,0.10101067378976,0.919541987057314,"Q2_AL",0.94299655923592
"16","female - male",-0.0151843456738602,0.212356285124255,Inf,-0.071504102951205,0.94299655923592,"Q2_AP",0.94299655923592
"19","female - male",-0.339806793062636,0.224834905564313,Inf,-1.51136137962989,0.130696403429593,"Q3_BL",0.217827339049322
"22","female - male",-0.164838925293009,0.241800207791756,Inf,-0.681715399661575,0.49541892795105,"Q3_AL",0.577988749276224
"25","female - male",-0.505047471781076,0.208780832649855,Inf,-2.41903179219564,0.01556188003885,"Q3_AP",0.0778094001942502
"28","female - male",-0.267447448069524,0.213107675187345,Inf,-1.2549874040642,0.209483332548864,"Q4_BL",0.31242445370889
"31","female - male",-0.21888133387766,0.22535538921767,Inf,-0.971271797126823,0.331412949136549,"Q4_AL",0.414266186420686
"34","female - male",-0.44633793385481,0.205384289973555,Inf,-2.17318439454293,0.029766441828757,"Q4_AP",0.104182546400649
"37","female - male",-0.403666779757755,0.216672440106538,Inf,-1.86302780159429,0.0624583548440837,"Q5_BL",0.145736956390852
"40","female - male",-0.372872598323204,0.223530864707234,Inf,-1.66810341297417,0.0952951997882427,"Q5_AL",0.166766599629425
"43","female - male",-0.37691726756956,0.198871228475739,Inf,-1.89528304550872,0.0580549131168545,"Q5_AP",0.145736956390852
"46","female - male",0.690842966544368,0.220805394195017,Inf,3.12874134738851,0.00175556770426094,"Q6_BL",0.0153612174122832
"49","female - male",0.313596061194618,0.225820180736513,Inf,1.38869812331132,0.164924565115035,"Q6_AL",0.262379989955737
"52","female - male",0.381018468062655,0.210126327012727,Inf,1.81328286407241,0.0697882048777772,"Q6_AP",0.147911005754198
"55","female - male",1.0422063010359,0.222906067920882,Inf,4.67554028814423,2.93180710385332e-06,"Q7_BL",0.000102613248634866
"58","female - male",0.818577319411746,0.226162499755784,Inf,3.619421081283,0.000295262840373223,"Q7_AL",0.00516709970653141
"61","female - male",0.59507274547083,0.209516292766179,Inf,2.84022181575604,0.00450821740602631,"Q7_AP",0.0315575218421842
"64","female - male",0.753620559049228,0.22226350693713,Inf,3.39066259429803,0.000697238820327065,"Q8_BL",0.00813445290381576
"67","female - male",0.46556115935849,0.232644531849348,Inf,2.00116957685457,0.0453741183499846,"Q8_AL",0.132341178520788
"70","female - male",0.485148465856495,0.216940343834078,Inf,2.23632201038435,0.0253306856827205,"Q8_AP",0.0985082220994684
"73","female - male",-0.586258989586842,0.250948478157429,Inf,-2.33617272314781,0.019482241316136,"Q9_BL",0.085234805758095
"76","female - male",-0.316792262145145,0.274101891384904,Inf,-1.15574635601581,0.247784920966127,"Q9_AL",0.334615157761676
"79","female - male",-0.0760424796837037,0.242877945898024,Inf,-0.31308927371953,0.754212838067747,"Q9_AP",0.79992270704155
"82","female - male",-0.272149568979124,0.219120768603332,Inf,-1.24200718495921,0.214233911114667,"Q10_BL",0.31242445370889
"85","female - male",0.136192104497117,0.222914512668274,Inf,0.610961138720425,0.541225307762652,"Q10_AL",0.61106083134493
"88","female - male",-0.230868575143938,0.209063278091811,Inf,-1.10429998635414,0.269463028758506,"Q10_AP",0.349303926168433
"91","female - male",-0.621365277847878,0.224817515473154,Inf,-2.76386506869869,0.00571211546770491,"Q11_BL",0.033320673561612
"94","female - male",0.122603679980977,0.227461520659392,Inf,0.539008442507371,0.589881029168792,"Q11_AL",0.645182375653367
"97","female - male",-0.357547366965181,0.201408046385641,Inf,-1.77523874235182,0.0758584752320078,"Q11_AP",0.147911005754198
"100","female - male",-0.254991252862276,0.220996161331707,Inf,-1.15382661547475,0.248571260051531,"Q12_AP",0.334615157761676
"103","female - male",0.399596012525102,0.196932533438637,Inf,2.02910106089513,0.0424479978816263,"Q13_AP",0.132341178520788
