"","Q","comp","p","FDR","FDRall"
"1","Q1_BL","malevfemale","0.0764302719209126",0.117102661313478,0.227699619220652
"2","Q1_BL","malevother","0.360046737599968",0.360046737599968,0.504065432639955
"3","Q1_BL","femalevother","0.0780684408756522",0.117102661313478,0.227699619220652
"4","Q1_AL","malevfemale","0.0621358509036079",0.186407552710824,0.217863554989256
"5","Q1_AL","malevother","0.272631772433478",0.408947658650217,0.414874436311814
"6","Q1_AL","femalevother","0.818806609786059",0.818806609786059,0.88633705183027
"7","Q1_AP","malevfemale","0.0835678081421269",0.12535171221319,0.229629646890205
"8","Q1_AP","malevother","0.154646372735541",0.154646372735541,0.306374889381732
"9","Q1_AP","femalevother","0.0345567212786046",0.103670163835814,0.172783606393023
"10","Q2_BL","malevfemale","0.471366555557717",0.471366555557717,0.618425609486677
"11","Q2_BL","malevother","0.203623409752413",0.30543511462862,0.344395747003279
"12","Q2_BL","femalevother","0.119338892266962",0.30543511462862,0.273403857832571
"13","Q2_AL","malevfemale","0.919889667367437",0.919889667367437,0.94694524581942
"14","Q2_AL","malevother","0.917965213372141",0.919889667367437,0.94694524581942
"15","Q2_AL","femalevother","0.865338841929193",0.919889667367437,0.908605784025653
"16","Q2_AP","malevfemale","0.944020753474049",0.944020753474049,0.962351253541506
"17","Q2_AP","malevother","0.113642287433588",0.170463431150382,0.271191822284699
"18","Q2_AP","femalevother","0.11031197487841",0.170463431150382,0.26936645028449
"19","Q3_BL","malevfemale","0.126781110312168",0.190171665468252,0.277333678807867
"20","Q3_BL","malevother","0.304378844732417",0.304378844732417,0.450137728125405
"21","Q3_BL","femalevother","0.083316209794078",0.190171665468252,0.229629646890205
"22","Q3_AL","malevfemale","0.482960952170548",0.705112184669601,0.618425609486677
"23","Q3_AL","malevother","0.705112184669601",0.705112184669601,0.813590982311078
"24","Q3_AL","femalevother","0.398700348970864",0.705112184669601,0.536712008230009
"25","Q3_AP","malevfemale","0.0153455306660562",0.0230182959990843,0.1239446707643
"26","Q3_AP","malevother","0.0464571857090812",0.0464571857090812,0.197393439804398
"27","Q3_AP","femalevother","0.00325178932918591",0.00975536798755773,0.0569063132607534
"28","Q4_BL","malevfemale","0.209138262629858",0.209138262629858,0.344395747003279
"29","Q4_BL","malevother","0.16175708939729",0.209138262629858,0.309596974741178
"30","Q4_BL","femalevother","0.0654656671601421",0.196397001480426,0.221044392498034
"31","Q4_AL","malevfemale","0.318223300563029",0.477334950844543,0.464075646654417
"32","Q4_AL","malevother","0.503666364058295",0.503666364058295,0.637168291880976
"33","Q4_AL","femalevother","0.291723960113785",0.477334950844543,0.437585940170677
"34","Q4_AP","malevfemale","0.0280520764289228",0.0337951004704723,0.16363711250205
