"","contrast","estimate","SE","df","z.ratio","p.value","Q","FDRall"
"1","AL - AP",-0.351627388829891,0.148228446026912,Inf,-2.37219911734114,0.0176825585217369,"Q1",0.0307118121693326
"2","AL - BL",0.161748842186952,0.159074295414756,Inf,1.0168131926357,0.309242304962502,"Q1",0.364464145134378
"3","AP - BL",0.513376231016843,0.150191772907743,Inf,3.41813816481274,0.000630510911764072,"Q1",0.00189153273529222
"4","AL - AP",-0.297050382394057,0.141706934529425,Inf,-2.0962303883045,0.0360617584734101,"Q2",0.0540926377101151
"5","AL - BL",0.171381246427655,0.160772976505833,Inf,1.06598291673375,0.286431364414211,"Q2",0.35008277872848
"6","AP - BL",0.468431628821712,0.149257480911845,Inf,3.13841306954912,0.00169865311978238,"Q2",0.00431196561175527
"7","AL - AP",-0.364606771902511,0.14505277999408,Inf,-2.51361450581914,0.0119500977381561,"Q3",0.0231972485505383
"8","AL - BL",-0.0260273569676357,0.153527874007481,Inf,-0.169528544154578,0.865380922300716,"Q3",0.865380922300716
"9","AP - BL",0.338579414934875,0.13860183178329,Inf,2.44282063648523,0.014572977981017,"Q3",0.0267171262985312
"10","AL - AP",-0.35645548157683,0.138734055514495,Inf,-2.5693437725504,0.0101891322905597,"Q4",0.0210150853492794
"11","AL - BL",0.0570761796102076,0.150508199608119,Inf,0.379223057340516,0.704522230802682,"Q4",0.726538550515266
"12","AP - BL",0.413531661187038,0.141083901571766,Inf,2.9311045170996,0.00337759123262271,"Q4",0.00796146504832497
"13","AL - AP",-0.519842739630987,0.137356707443173,Inf,-3.78461852579027,0.000153944527724365,"Q5",0.00056446326832267
"14","AL - BL",0.277099580625028,0.144060619804436,Inf,1.92349290875739,0.0544181762147959,"Q5",0.0748249922953444
"15","AP - BL",0.796942320256015,0.140347829756592,Inf,5.6783373254732,1.36010294906633e-08,"Q5",6.41191390274125e-08
"16","AL - AP",0.418759723460561,0.145784851884037,Inf,2.87245017605572,0.0040730229921935,"Q6",0.00896065058282571
"17","AL - BL",-0.142750462111726,0.147307798768635,Inf,-0.969062488917734,0.332514011976734,"Q6",0.365765413174408
"18","AP - BL",-0.561510185572287,0.143908465551213,Inf,-3.90185652679661,9.54577339578514e-05,"Q6",0.000393763152576137
"19","AL - AP",0.321081190842263,0.144742112942646,Inf,2.21829835363458,0.0265344963653482,"Q7",0.0437819190028246
"20","AL - BL",-0.144819165455915,0.146360857954763,Inf,-0.989466497256221,0.322434953730987,"Q7",0.365765413174408
"21","AP - BL",-0.465900356298178,0.139371002817549,Inf,-3.34287869699904,0.000829141357032306,"Q7",0.00228013873183884
"22","AL - AP",0.527509051182739,0.147685370557073,Inf,3.57184363754489,0.000354477039085737,"Q8",0.00116977422898293
"23","AL - BL",-0.309820921218555,0.154906251578547,Inf,-2.0000543429421,0.0454943961593025,"Q8",0.0652745684024775
"24","AP - BL",-0.837329972401294,0.145434465737351,Inf,-5.75743836343085,8.53999354454412e-09,"Q8",4.69699644949927e-08
"25","AL - AP",-0.23518491234311,0.165631223296788,Inf,-1.41993102303961,0.15562776317902,"Q9",0.205428647396307
"26","AL - BL",0.123182324971948,0.170642695562318,Inf,0.72187282652812,0.470372669310894,"Q9",0.500719293137403
"27","AP - BL",0.358367237315058,0.164129880595697,Inf,2.18343689774458,0.0290036512036858,"Q9",0.0455771661772206
"28","AL - AP",-1.18546765895661,0.141397049114803,Inf,-8.3839632183138,5.11747903426498e-17,"Q10",4.22192020326861e-16
"29","AL - BL",1.2025208256301,0.155672813577866,Inf,7.72466815490948,1.12145109522988e-14,"Q10",7.40157722851719e-14
"30","AP - BL",2.38798848458672,0.158109525791352,Inf,15.1033814859328,1.53837521588945e-51,"Q10",5.07663821243517e-50
"31","AL - AP",-0.151377149535163,0.139217299888665,Inf,-1.0873443864823,0.276884639212614,"Q11",0.35008277872848
"32","AL - BL",1.83446892664785,0.167216736747189,Inf,10.9706059473062,5.29165692162427e-28,"Q11",5.8208226137867e-27
"33","AP - BL",1.98584607618301,0.151600136067004,Inf,13.0992367665508,3.32585270615951e-39,"Q11",5.48765696516319e-38
