"",".y.","group1","group2","effsize","n1","n2","conf.low","conf.high","magnitude","Q"
"1","score","AL","BL",0.081248329045973,311,312,-0.07,0.24,"negligible","Q1"
"2","score","AP","BL",0.280014159912797,386,312,0.13,0.43,"small","Q1"
"3","score","AP","AL",0.197249427235577,386,311,0.05,0.35,"negligible","Q1"
"4","score","AL","BL",0.0992519805362118,310,314,-0.06,0.26,"negligible","Q2"
"5","score","AP","BL",0.274138183376143,385,314,0.12,0.42,"small","Q2"
"6","score","AP","AL",0.177932201486152,385,310,0.03,0.33,"negligible","Q2"
"7","score","AL","BL",-0.0410337733331943,309,313,-0.2,0.12,"negligible","Q3"
"8","score","AP","BL",0.180178301217509,383,313,0.04,0.33,"negligible","Q3"
"9","score","AP","AL",0.212724215649764,383,309,0.06,0.36,"small","Q3"
"10","score","AL","BL",0.0108459024490623,311,313,-0.15,0.17,"negligible","Q4"
"11","score","AP","BL",0.214376763957536,387,313,0.07,0.37,"small","Q4"
"12","score","AP","AL",0.204504196046948,387,311,0.05,0.35,"small","Q4"
"13","score","AL","BL",0.135937316495468,309,314,-0.03,0.29,"negligible","Q5"
"14","score","AP","BL",0.423874635999132,386,314,0.27,0.58,"small","Q5"
"15","score","AP","AL",0.293945284282941,386,309,0.14,0.45,"small","Q5"
"16","score","AL","BL",-0.0632605306088246,310,312,-0.23,0.1,"negligible","Q6"
"17","score","AP","BL",-0.271734443988701,387,312,-0.42,-0.12,"small","Q6"
"18","score","AP","AL",-0.205152676504164,387,310,-0.35,-0.05,"small","Q6"
"19","score","AL","BL",-0.0514812923876675,311,313,-0.22,0.1,"negligible","Q7"
"20","score","AP","BL",-0.229386774317811,386,313,-0.38,-0.08,"small","Q7"
"21","score","AP","AL",-0.172091265263551,386,311,-0.32,-0.03,"negligible","Q7"
"22","score","AL","BL",-0.137505103673694,311,314,-0.3,0.02,"negligible","Q8"
"23","score","AP","BL",-0.451100773501931,385,314,-0.61,-0.31,"small","Q8"
"24","score","AP","AL",-0.300592616151632,385,311,-0.44,-0.16,"small","Q8"
"25","score","AL","BL",0.0539815472213147,307,311,-0.1,0.21,"negligible","Q9"
"26","score","AP","BL",0.178182297410552,385,311,0.03,0.33,"negligible","Q9"
"27","score","AP","AL",0.12163945214156,385,307,-0.03,0.27,"negligible","Q9"
"28","score","AL","BL",0.636346516198485,308,313,0.47,0.81,"moderate","Q10"
"29","score","AP","BL",1.32010959248843,387,313,1.14,1.52,"large","Q10"
"30","score","AP","AL",0.66826112018022,387,308,0.51,0.83,"moderate","Q10"
"31","score","AL","BL",0.937208710136311,311,314,0.76,1.13,"large","Q11"
"32","score","AP","BL",1.10549272786556,387,314,0.94,1.29,"large","Q11"
"33","score","AP","AL",0.129100074228368,387,311,-0.02,0.28,"negligible","Q11"
