"","Var1","Freq"
"1","",7
"2"," A ft45 attack helicopter",1
"3","?",1
"4","a minion",1
"5","Agender",4
"6","bisexual",1
"7","boy",3
"8","Crustacean",1
"9","demigirl",1
"10","Exhausted but feisty female",1
"11","F",1
"12","female",236
"13","Female",258
"14","gender fluid",4
"15","Genderfluid",5
"16","girl",2
"17","Girl",1
"18","goth",1
"19","IDK",3
"20","insect",1
"21","lad",1
"22","male",168
"23","Male",212
"24","male (trans)",1
"25","man",3
"26","Man",7
"27","Manly man-man male",1
"28","No",3
"29","non-binary",7
"30","Non-Binary",15
"31","prefer not to say",1
"32","the better one",1
"33","they/them",1
"34","trans masc / non-binary",1
"35","trans woman",1
"36","Transmasc",1
"37","very manly man",1
"38","Woman",5
"39","Woman/Female",1
"40","XY",3
"41","Ze/Zem",1
"42",NA,44
