"","Q","comp","p","FDR","FDRall"
"1"," Q1","BLvAL","0.310103594135077",0.310103594135077,0.365479235944912
"2"," Q1","BLvAP","0.000614744996877529",0.00184423499063259,0.00184423499063259
"3"," Q1","ALvAP","0.0176351549889292",0.0264527324833938,0.0306294797176139
"4","Q2","BLvAL","0.286710236457214",0.286710236457214,0.350423622336595
"5","Q2","BLvAP","0.00155439762057801",0.00466319286173403,0.00394577857531341
"6","Q2","ALvAP","0.0356045618278503",0.0534068427417755,0.0534068427417755
"7","Q3","BLvAL","0.861957516838204",0.861957516838204,0.861957516838204
"8","Q3","BLvAP","0.0143745148478494",0.0215617722717741,0.0263532772210572
"9","Q3","ALvAP","0.011607919041833",0.0215617722717741,0.0225330193164994
"10","Q4","BLvAL","0.711312602467852",0.711312602467852,0.733541121294972
"11","Q4","BLvAP","0.00322633888781239",0.00967901666343717,0.0076049416641292
"12","Q4","ALvAP","0.0103978615108018",0.0155967922662027,0.0214455893660287
"13","Q5","BLvAL","0.0545285991688106",0.0545285991688106,0.0749768238571146
"14","Q5","BLvAP","1.61257029239661e-08",4.83771087718983e-08,7.60211709272688e-08
"15","Q5","ALvAP","0.000164525366732989",0.000246788050099483,0.00060325967802096
"16","Q6","BLvAL","0.332537668026311",0.332537668026311,0.365791434828942
"17","Q6","BLvAP","9.57994659508748e-05",0.000287398397852624,0.000395172797047359
"18","Q6","ALvAP","0.00407770405540225",0.00611655608310338,0.00897094892188495
"19","Q7","BLvAL","0.321482352075735",0.321482352075735,0.365791434828942
"20","Q7","BLvAP","0.000848150896685609",0.00254445269005683,0.00233241496588542
"21","Q7","ALvAP","0.0264286627853898",0.0396429941780847,0.0436072935958932
"22","Q8","BLvAL","0.0463906698346518",0.0463906698346518,0.0665605262845004
"23","Q8","BLvAP","8.48231223608463e-09",2.54469367082539e-08,4.66527172984655e-08
"24","Q8","ALvAP","0.000359656907889613",0.00053948536183442,0.00118686779603572
"25","Q9","BLvAL","0.471162182575876",0.471162182575876,0.501559742742061
"26","Q9","BLvAP","0.0288663187016745",0.0865989561050235,0.0453613579597742
"27","Q9","ALvAP","0.155679970585234",0.233519955877851,0.205497561172509
"28","Q10","BLvAL","1.51210994572797e-14",1.51210994572797e-14,9.9799256418046e-14
"29","Q10","BLvAP","3.16763408138224e-49",9.50290224414672e-49,1.04531924685614e-47
"30","Q10","ALvAP","9.30506014651775e-17",1.39575902197766e-16,7.67667462087714e-16
"31","Q11","BLvAL","7.72737515636666e-28",1.159106273455e-27,8.50011267200333e-27
"32","Q11","BLvAP","1.58374555450077e-38",4.75123666350231e-38,2.61318016492627e-37
"33","Q11","ALvAP","0.284522560803241",0.284522560803241,0.350423622336595
