"",".y.","group1","group2","effsize","n1","n2","conf.low","conf.high","magnitude","Q"
"1","score","female","male",-0.172647151280279,156,127,-0.43,0.06,"negligible","Q1_BL"
"2","score","other","male",0.303894073402934,16,127,-0.17,0.8,"small","Q1_BL"
"3","score","other","female",0.515140354509071,16,156,0.04,1.05,"moderate","Q1_BL"
"4","score","female","male",0.262704338157779,161,116,0.03,0.49,"small","Q1_AL"
"5","score","other","male",0.358630009496659,16,116,-0.11,0.84,"small","Q1_AL"
"6","score","other","female",0.0961560482129728,16,161,-0.42,0.61,"negligible","Q1_AL"
"7","score","female","male",-0.178760927273927,188,153,-0.4,0.04,"negligible","Q1_AP"
"8","score","other","male",0.408698913083947,16,153,-0.08,0.99,"small","Q1_AP"
"9","score","other","female",0.603439011557743,16,188,0.11,1.22,"moderate","Q1_AP"
"10","score","female","male",-0.0767374177397513,156,129,-0.32,0.16,"negligible","Q2_BL"
"11","score","other","male",0.325061417741047,16,129,-0.2,0.93,"small","Q2_BL"
"12","score","other","female",0.404056015945641,16,156,-0.11,1.02,"small","Q2_BL"
"13","score","female","male",0.0581730081800852,160,116,-0.19,0.29,"negligible","Q2_AL"
"14","score","other","male",0.0234453562123931,16,116,-0.49,0.55,"negligible","Q2_AL"
"15","score","other","female",-0.0371382622166403,16,160,-0.58,0.52,"negligible","Q2_AL"
"16","score","female","male",0.00349946541286578,188,153,-0.21,0.22,"negligible","Q2_AP"
"17","score","other","male",0.460136601361422,16,153,-0.0067,1,"small","Q2_AP"
"18","score","other","female",0.464529792611191,16,188,-0.01,1.01,"small","Q2_AP"
"19","score","female","male",-0.131334275799689,155,129,-0.38,0.1,"negligible","Q3_BL"
"20","score","other","male",0.29035964644863,16,129,-0.22,0.86,"small","Q3_BL"
"21","score","other","female",0.448748074469795,16,155,-0.09,1.1,"small","Q3_BL"
"22","score","female","male",-0.0169408122027508,161,114,-0.27,0.22,"negligible","Q3_AL"
"23","score","other","male",0.225318438613036,16,114,-0.22,0.66,"small","Q3_AL"
"24","score","other","female",0.28112856445359,16,161,-0.18,0.77,"small","Q3_AL"
"25","score","female","male",-0.213014026374105,187,151,-0.44,0.0055,"small","Q3_AP"
"26","score","other","male",0.531159674446129,16,151,0.05,1.1,"moderate","Q3_AP"
"27","score","other","female",0.799897264951673,16,187,0.28,1.46,"moderate","Q3_AP"
"28","score","female","male",-0.152178946486402,155,129,-0.39,0.09,"negligible","Q4_BL"
"29","score","other","male",0.380653707829679,16,129,-0.23,1.11,"small","Q4_BL"
"30","score","other","female",0.512353794095534,16,155,-0.1,1.29,"moderate","Q4_BL"
"31","score","female","male",-0.112249760813738,161,116,-0.36,0.13,"negligible","Q4_AL"
"32","score","other","male",0.194929192537509,16,116,-0.39,0.83,"negligible","Q4_AL"
"33","score","other","female",0.302774399351445,16,161,-0.31,0.99,"small","Q4_AL"
"34","score","female","male",-0.235338399516563,188,154,-0.46,-0.02,"small","Q4_AP"
"35","score","other","male",0.490420444879685,16,154,-0.07,1.21,"small","Q4_AP"
"36","score","other","female",0.742874072514625,16,188,0.12,1.61,"moderate","Q4_AP"
"37","score","female","male",-0.243012020254846,156,129,-0.48,-0.0099,"small","Q5_BL"
"38","score","other","male",0.482447246129445,16,129,-0.06,1.08,"small","Q5_BL"
"39","score","other","female",0.721152418983404,16,156,0.18,1.34,"moderate","Q5_BL"
