"","contrast","estimate","SE","df","z.ratio","p.value","Q","session","FDRall"
"1","year2023 - year2024",0.183570043332754,0.223269025823506,Inf,0.822192163268835,0.410967538235027,"Q1","BL",0.835394629322914
"2","year2023 - year2024",0.164292536560905,0.221027204142756,Inf,0.743313644119538,0.457291812908481,"Q1","AL",0.835394629322914
"3","year2023 - year2024",0.0932228570909346,0.20200418414684,Inf,0.46148973341646,0.644447285477677,"Q1","AP",0.835394629322914
"4","year2023 - year2024",0.0824606736728165,0.214283950622343,Inf,0.384819644370596,0.700371043752541,"Q2","BL",0.845275397632377
"5","year2023 - year2024",-0.114209789280272,0.217859123064856,Inf,-0.524236890673024,0.600113785227198,"Q2","AL",0.835394629322914
"6","year2023 - year2024",0.108242377985882,0.198403224031138,Inf,0.545567636385253,0.585363175929458,"Q2","AP",0.835394629322914
"7","year2023 - year2024",0.26786572243729,0.210965113384611,Inf,1.2697157275902,0.204185908444278,"Q3","BL",0.835394629322914
"8","year2023 - year2024",0.353503325172122,0.209300458910543,Inf,1.68897539457003,0.0912241453655691,"Q3","AL",0.53214084796582
"9","year2023 - year2024",0.549539154730296,0.193194473034016,Inf,2.84448693640184,0.00444830098787048,"Q3","AP",0.0778452672877333
"10","year2023 - year2024",0.659020380737556,0.212203586247838,Inf,3.10560435094565,0.00189890606139307,"Q4","BL",0.0664617121487576
"11","year2023 - year2024",0.242248115142412,0.208187998184443,Inf,1.16360269206198,0.244585059940976,"Q4","AL",0.835394629322914
"12","year2023 - year2024",0.276082692132064,0.187863424969473,Inf,1.46959256266581,0.141672135780681,"Q4","AP",0.708360678903404
"13","year2023 - year2024",0.132433283520253,0.206279070878426,Inf,0.64201027741833,0.52086650998044,"Q5","BL",0.835394629322914
"14","year2023 - year2024",-0.109386684457244,0.205702451686078,Inf,-0.531771418185035,0.594884320782455,"Q5","AL",0.835394629322914
"15","year2023 - year2024",0.10683662205095,0.18350025478804,Inf,0.582215115583117,0.560421793093914,"Q5","AP",0.835394629322914
"16","year2023 - year2024",0.038935838051757,0.212394916428222,Inf,0.183318126000983,0.854548412896629,"Q6","BL",0.96481272423813
"17","year2023 - year2024",0.502826453484883,0.212743894330247,Inf,2.36352942145702,0.0181017892649191,"Q6","AL",0.211187541424056
"18","year2023 - year2024",0.0779640358492375,0.198520961336424,Inf,0.392724452493033,0.694523008316763,"Q6","AP",0.845275397632377
"19","year2023 - year2024",-0.181688548996643,0.206547391549223,Inf,-0.879645817039255,0.379051210260743,"Q7","BL",0.835394629322914
"20","year2023 - year2024",0.129145689152014,0.20920149191329,Inf,0.617326807619241,0.537019188204397,"Q7","AL",0.835394629322914
"21","year2023 - year2024",-0.000289348645348621,0.193101647131349,Inf,-0.00149842660405586,0.998804428994527,"Q7","AP",0.998804428994527
"22","year2023 - year2024",0.0146197202352621,0.212032129469619,Inf,0.0689504947756366,0.945029025105758,"Q8","BL",0.972823996432398
"23","year2023 - year2024",0.374894492185428,0.215835280862251,Inf,1.73694722516052,0.082396486601449,"Q8","AL",0.53214084796582
"24","year2023 - year2024",0.098086968313067,0.205897735779493,Inf,0.476386823496271,0.633798820196777,"Q8","AP",0.835394629322914
"25","year2023 - year2024",0.242935696657195,0.239969596042872,Inf,1.01236031840381,0.311365804200394,"Q9","BL",0.835394629322914
"26","year2023 - year2024",-0.207909536222899,0.243180118728735,Inf,-0.854961077039444,0.392572696053005,"Q9","AL",0.835394629322914
"27","year2023 - year2024",0.141140485297683,0.228347858820121,Inf,0.618094192023343,0.536513250597096,"Q9","AP",0.835394629322914
"28","year2023 - year2024",0.232547401793222,0.207925281863365,Inf,1.11841811495553,0.263388461107076,"Q10","BL",0.835394629322914
"29","year2023 - year2024",-0.131599946289204,0.207752912610948,Inf,-0.633444530983048,0.526443392823079,"Q10","AL",0.835394629322914
"30","year2023 - year2024",0.43252444876932,0.194330777718831,Inf,2.22571253944716,0.0260334423005797,"Q10","AP",0.227792620130072
"31","year2023 - year2024",-0.0193396080166904,0.207631286568193,Inf,-0.0931439974020418,0.925789164469435,"Q11","BL",0.972823996432398
"32","year2023 - year2024",-0.0185663780433938,0.213219127396192,Inf,-0.0870765126474546,0.93061069465145,"Q11","AL",0.972823996432398
"33","year2023 - year2024",0.200081137892364,0.190334622709737,Inf,1.05120726352289,0.29316340789418,"Q11","AP",0.835394629322914
"34","year2023 - year2024",0.0543457548318281,0.206986733619962,Inf,0.262556705356825,0.792892273615989,"Q12","AP",0.925040985885321
"35","year2023 - year2024",-0.182116718414121,0.184660209701623,Inf,-0.986226099864112,0.324022174362524,"Q13","AP",0.835394629322914
