"",".y.","group1","group2","effsize","n1","n2","conf.low","conf.high","magnitude","Q","session"
"1","score","2023","2024",0.0782446672326753,131,181,-0.15,0.31,"negligible","Q1","BL"
"2","score","2023","2024",0.12624120459949,146,165,-0.1,0.34,"negligible","Q1","AL"
"3","score","2023","2024",0.055689186338288,189,197,-0.14,0.26,"negligible","Q1","AP"
"4","score","2023","2024",0.0345913797810142,132,182,-0.19,0.26,"negligible","Q2","BL"
"5","score","2023","2024",-0.0174580577334655,145,165,-0.25,0.2,"negligible","Q2","AL"
"6","score","2023","2024",0.0939963076517729,188,197,-0.11,0.29,"negligible","Q2","AP"
"7","score","2023","2024",0.145542725460531,132,181,-0.08,0.38,"negligible","Q3","BL"
"8","score","2023","2024",0.246869343302531,145,164,0.03,0.47,"small","Q3","AL"
"9","score","2023","2024",0.330553055863679,188,195,0.14,0.53,"small","Q3","AP"
"10","score","2023","2024",0.343365936148574,131,182,0.12,0.58,"small","Q4","BL"
"11","score","2023","2024",0.126210608369489,146,165,-0.1,0.35,"negligible","Q4","AL"
"12","score","2023","2024",0.160702570663576,190,197,-0.04,0.36,"negligible","Q4","AP"
"13","score","2023","2024",0.0612024365080035,132,182,-0.16,0.28,"negligible","Q5","BL"
"14","score","2023","2024",-0.082580431891246,146,163,-0.31,0.14,"negligible","Q5","AL"
"15","score","2023","2024",0.0230964523960559,190,196,-0.18,0.23,"negligible","Q5","AP"
"16","score","2023","2024",0.0327661650028485,131,181,-0.19,0.26,"negligible","Q6","BL"
"17","score","2023","2024",0.263889023235118,146,164,0.04,0.49,"small","Q6","AL"
"18","score","2023","2024",0.0638215871521381,190,197,-0.14,0.26,"negligible","Q6","AP"
"19","score","2023","2024",-0.129297532715518,131,182,-0.36,0.1,"negligible","Q7","BL"
"20","score","2023","2024",0.0446466077916807,146,165,-0.18,0.27,"negligible","Q7","AL"
"21","score","2023","2024",0.0270236720324084,189,197,-0.17,0.22,"negligible","Q7","AP"
"22","score","2023","2024",0.0436647727024422,132,182,-0.19,0.27,"negligible","Q8","BL"
"23","score","2023","2024",0.1368125619399,146,165,-0.08,0.37,"negligible","Q8","AL"
"24","score","2023","2024",0.0172380864517302,189,196,-0.18,0.22,"negligible","Q8","AP"
"25","score","2023","2024",0.106798370632963,130,181,-0.12,0.35,"negligible","Q9","BL"
"26","score","2023","2024",-0.0643986385862467,144,163,-0.29,0.16,"negligible","Q9","AL"
"27","score","2023","2024",0.0335111200782986,190,195,-0.16,0.24,"negligible","Q9","AP"
"28","score","2023","2024",0.132180323650904,131,182,-0.09,0.36,"negligible","Q10","BL"
"29","score","2023","2024",-0.054388038661624,144,164,-0.28,0.17,"negligible","Q10","AL"
"30","score","2023","2024",0.233034413566425,190,197,0.04,0.43,"small","Q10","AP"
"31","score","2023","2024",0.0102828660457277,132,182,-0.22,0.23,"negligible","Q11","BL"
"32","score","2023","2024",-0.0416428023669403,146,165,-0.27,0.18,"negligible","Q11","AL"
"33","score","2023","2024",0.126932401554554,190,197,-0.07,0.32,"negligible","Q11","AP"
"34","score","2023","2024",0.0590136481660904,190,196,-0.14,0.26,"negligible","Q12","AP"
"35","score","2023","2024",-0.10437484430025,189,194,-0.31,0.1,"negligible","Q13","AP"
